Model,Category,CA,CC,SQ,LA,Qped,Latency_s,Net_Energy_J,LpW,LpW_x1e4
Phi-3 Mini FP16,Mathematics,8,8,8,8,8.0,9.17,366.51,0.0023803171338172935,23.803171338172934
Phi-3 Mini FP16,Mathematics,8,8,7,8,7.75,9.52,394.72,0.002062412926256842,20.62412926256842
Phi-3 Mini FP16,Mathematics,9,8,8,9,8.5,9.28,371.8,0.002463551037821595,24.635510378215947
Phi-3 Mini FP16,Mathematics,8,8,7,8,7.75,9.1,363.5,0.0023429115588675426,23.429115588675426
Phi-3 Mini FP16,Science,9,8,8,8,8.25,9.05,361.2,0.0025238156421504743,25.238156421504744
Phi-3 Mini FP16,Science,8,8,8,8,8.0,9.22,368.8,0.0023527086734957954,23.527086734957955
Phi-3 Mini FP16,Science,9,8,8,8,8.25,9.35,374.0,0.0023592324630386913,23.592324630386912
Phi-3 Mini FP16,Science,8,8,7,8,7.75,9.1,363.5,0.0023429115588675426,23.429115588675426
Phi-3 Mini FP16,Programming-CS,9,8,8,9,8.5,9.18,367.0,0.002522958926228681,25.22958926228681
Phi-3 Mini FP16,Programming-CS,8,8,8,8,8.0,9.12,364.5,0.002406565109619041,24.06565109619041
Phi-3 Mini FP16,Programming-CS,8,8,7,8,7.75,9.2,368.0,0.002289106805293006,22.89106805293006
Phi-3 Mini FP16,Programming-CS,9,8,8,8,8.25,9.05,361.2,0.0025238156421504743,25.238156421504744
Phi-3 Mini FP16,Humanities,9,8,8,8,8.25,9.25,370.0,0.002410518626734843,24.10518626734843
Phi-3 Mini FP16,Humanities,8,8,8,8,8.0,9.18,367.0,0.002374549577626994,23.74549577626994
Phi-3 Mini FP16,Humanities,9,8,8,8,8.25,9.15,366.0,0.0024634954761264894,24.634954761264893
Phi-3 Mini FP16,Humanities,8,8,8,8,8.0,9.22,368.8,0.0023527086734957954,23.527086734957955
Phi-3 Mini FP16,Meta-cognition,8,8,8,8,8.0,9.1,363.5,0.002418489351089076,24.18489351089076
Phi-3 Mini FP16,Meta-cognition,9,8,7,8,8.0,9.08,362.8,0.002428493022939545,24.28493022939545
Phi-3 Mini FP16,Meta-cognition,8,8,8,8,8.0,9.12,364.5,0.002406565109619041,24.06565109619041
Phi-3 Mini FP16,Meta-cognition,8,8,8,8,8.0,9.2,368.0,0.0023629489603024575,23.629489603024574
Mistral 7B Instruct v0.3,Mathematics,8,8,7,8,7.75,82.84,3342.49,2.7989265106328965e-05,0.27989265106328964
Mistral 7B Instruct v0.3,Mathematics,9,8,7,8,8.0,80.29,3412.8,2.919561923236892e-05,0.2919561923236892
Mistral 7B Instruct v0.3,Mathematics,9,8,7,9,8.25,81.77,3661.72,2.755337599586301e-05,0.2755337599586301
Mistral 7B Instruct v0.3,Mathematics,6,7,6,7,6.5,83.01,3804.57,2.0581516128500722e-05,0.2058151612850072
Mistral 7B Instruct v0.3,Science,9,8,8,8,8.25,82.63,3738.2,2.670875612673776e-05,0.2670875612673776
